name,value,year,lastValue
"""Cap and Trade""",27,2017.3,27
"""Cap and Trade""",27,2017.4,27
"""Cap and Trade""",30,2017.5,27
"""Cap and Trade""",33,2017.6,30
"""Cap and Trade""",33,2017.7,33
"""Cap and Trade""",34,2017.8,33
"""Cap and Trade""",35,2017.9,34
"""Cap and Trade""",35,2018,35
"""Cap and Trade""",35,2018.1,35
"""Cap and Trade""",35,2018.2,35
"""Cap and Trade""",35,2018.3,35
"""Cap and Trade""",39,2018.4,35
"""Cap and Trade""",41,2018.5,39
"""Cap and Trade""",42,2018.6,41
"""Cap and Trade""",42,2018.7,42
"""Cap and Trade""",44,2018.8,42
"""Cap and Trade""",44,2018.9,44
"""Cap and Trade""",46,2019,44
"""Cap and Trade""",46,2019.1,46
"""Cap and Trade""",47,2019.2,46
"""Cap and Trade""",47,2019.3,47
"""Price on Carbon Pollution""",0,2016,0
"""Price on Carbon Pollution""",0,2016.1,0
"""Price on Carbon Pollution""",0,2016.2,0
"""Price on Carbon Pollution""",0,2016.3,0
"""Price on Carbon Pollution""",0,2016.4,0
"""Price on Carbon Pollution""",0,2016.5,0
"""Price on Carbon Pollution""",0,2016.6,0
"""Price on Carbon Pollution""",0,2016.7,0
"""Price on Carbon Pollution""",0,2016.8,0
"""Price on Carbon Pollution""",0,2016.9,0
"""Price on Carbon Pollution""",0,2017,0
"""Price on Carbon Pollution""",0,2017.1,0
"""Price on Carbon Pollution""",1,2017.2,0
"""Price on Carbon Pollution""",1,2017.3,1
"""Price on Carbon Pollution""",1,2017.4,1
"""Price on Carbon Pollution""",2,2017.5,1
"""Price on Carbon Pollution""",2,2017.6,2
"""Price on Carbon Pollution""",2,2017.7,2
"""Price on Carbon Pollution""",4,2017.8,2
"""Price on Carbon Pollution""",5,2017.9,4
"""Price on Carbon Pollution""",5,2018,5
"""Price on Carbon Pollution""",5,2018.1,5
"""Price on Carbon Pollution""",5,2018.2,5
"""Price on Carbon Pollution""",5,2018.3,5
"""Price on Carbon Pollution""",5,2018.4,5
"""Price on Carbon Pollution""",5,2018.5,5
"""Price on Carbon Pollution""",5,2018.6,5
"""Price on Carbon Pollution""",5,2018.7,5
"""Price on Carbon Pollution""",5,2018.8,5
"""Price on Carbon Pollution""",5,2018.9,5
"""Price on Carbon Pollution""",5,2019,5
"""Price on Carbon Pollution""",5,2019.1,5
"""Price on Carbon Pollution""",5,2019.2,5
"""Price on Carbon Pollution""",5,2019.3,5
