name,value,year,lastValue
"""Cap and Trade""",0,2016.4,0
"""Cap and Trade""",0,2016.5,0
"""Cap and Trade""",0,2016.6,0
"""Cap and Trade""",1,2016.7,0
"""Cap and Trade""",18,2016.8,1
"""Cap and Trade""",20,2016.9,18
"""Cap and Trade""",23,2017,20
"""Cap and Trade""",23,2017.1,23
"""Cap and Trade""",28,2017.2,23
"""Cap and Trade""",28,2017.3,28
"""Cap and Trade""",28,2017.4,28
"""Cap and Trade""",29,2017.5,28
"""Cap and Trade""",33,2017.6,29
"""Cap and Trade""",33,2017.7,33
"""Cap and Trade""",35,2017.8,33
"""Cap and Trade""",36,2017.9,35
"""Cap and Trade""",36,2018,36
"""Cap and Trade""",36,2018.1,36
"""Cap and Trade""",36,2018.2,36
"""Cap and Trade""",37,2018.3,36
"""Cap and Trade""",42,2018.4,37
"""Cap and Trade""",48,2018.5,42
"""Cap and Trade""",59,2018.6,48
"""Cap and Trade""",59,2018.7,59
"""Cap and Trade""",61,2018.8,59
"""Cap and Trade""",62,2018.9,61
"""Cap and Trade""",62,2019,62
"""Cap and Trade""",62,2019.1,62
"""Cap and Trade""",62,2019.2,62
"""Cap and Trade""",62,2019.3,62
"""Price on Carbon Pollution""",0,2016,0
"""Price on Carbon Pollution""",0,2016.1,0
"""Price on Carbon Pollution""",0,2016.2,0
"""Price on Carbon Pollution""",0,2016.3,0
"""Price on Carbon Pollution""",0,2016.4,0
"""Price on Carbon Pollution""",0,2016.5,0
"""Price on Carbon Pollution""",0,2016.6,0
"""Price on Carbon Pollution""",0,2016.7,0
"""Price on Carbon Pollution""",26,2016.8,0
"""Price on Carbon Pollution""",30,2016.9,26
"""Price on Carbon Pollution""",36,2017,30
"""Price on Carbon Pollution""",36,2017.1,36
"""Price on Carbon Pollution""",47,2017.2,36
"""Price on Carbon Pollution""",51,2017.3,47
"""Price on Carbon Pollution""",55,2017.4,51
"""Price on Carbon Pollution""",63,2017.5,55
"""Price on Carbon Pollution""",71,2017.6,63
"""Price on Carbon Pollution""",71,2017.7,71
"""Price on Carbon Pollution""",74,2017.8,71
"""Price on Carbon Pollution""",76,2017.9,74
"""Price on Carbon Pollution""",76,2018,76
"""Price on Carbon Pollution""",76,2018.1,76
"""Price on Carbon Pollution""",78,2018.2,76
"""Price on Carbon Pollution""",83,2018.3,78
"""Price on Carbon Pollution""",108,2018.4,83
"""Price on Carbon Pollution""",140,2018.5,108
"""Price on Carbon Pollution""",169,2018.6,140
"""Price on Carbon Pollution""",169,2018.7,169
"""Price on Carbon Pollution""",170,2018.8,169
"""Price on Carbon Pollution""",172,2018.9,170
"""Price on Carbon Pollution""",172,2019,172
"""Price on Carbon Pollution""",172,2019.1,172
"""Price on Carbon Pollution""",172,2019.2,172
"""Price on Carbon Pollution""",172,2019.3,172
